Date,BTC Open,BTC High,BTC Low,BTC Close, BTC Volume,NASDAQ Open,NASDAQ High,NASDAQ Low,NASDAQ Close,NASDAQ Volume,Gold Open,Gold High,Gold Low,Gold Close,Gold Volume,Trend
2018-11-27,3765.949951,3862.959961,3661.01001,3820.719971,5998720000,7041.22998,7105.140137,7014.359863,7082.700195,2076790000,1221.9,1222,1211.2,1211.2,5,1
2018-11-28,3822.469971,4385.899902,3822.469971,4257.419922,7280280000,7135.080078,7292.709961,7090.97998,7291.589844,2413120000,1211.5,1221.4,1211.5,1221.4,247168,1
2018-11-29,4269.004395,4413.020508,4145.765137,4278.84668,6503347767,7267.370117,7319.959961,7217.689941,7273.080078,2018190000,1221,1228.7,1220.5,1224.1,55478,1
2018-11-30,4289.088867,4322.976563,3942.822021,4017.268555,6048016717,7279.299805,7332.790039,7255.680176,7330.540039,2547970000,1224.1,1225,1216.1,1220.2,2060,-1
2018-12-01,4024.464355,4309.377441,3969.710693,4214.671875,5375314093,7279.299805,7332.790039,7255.680176,7330.540039,2547970000,1224.1,1225,1216.1,1220.2,2060,1
2018-12-02,4200.733398,4301.519531,4110.978516,4139.87793,5262697895,7279.299805,7332.790039,7255.680176,7330.540039,2547970000,1224.1,1225,1216.1,1220.2,2060,-1
2018-12-03,4147.32373,4155.979492,3840.446289,3894.130859,5089570994,7486.129883,7486.509766,7392.220215,7441.509766,2643150000,1222.5,1234.1,1221.3,1233.9,751,-1
2018-12-04,3886.294922,4075.627686,3832.75,3956.893799,5028069239,7407.950195,7421.109863,7150.109863,7158.430176,2655720000,1231,1241.4,1230.4,1241.1,474,1
2018-12-05,3958.894775,3969.535889,3753.994873,3753.994873,5302481574,7407.950195,7421.109863,7150.109863,7158.430176,2655720000,1231,1241.4,1230.4,1241.1,474,-1
2018-12-06,3754.074463,3874.966064,3521.101807,3521.101807,5878333109,7017.049805,7189.52002,6984.339844,7188.259766,2857650000,1237.5,1244.4,1234.8,1238.1,434,-1
2018-12-07,3512.590332,3512.590332,3280.22876,3419.937256,6835615448,7163.490234,7205.370117,6945.27002,6969.25,2504680000,1238.3,1249.8,1237.6,1246.8,211,-1
2018-12-08,3421.9104,3506.043457,3350.650635,3476.114746,5305024497,7163.490234,7205.370117,6945.27002,6969.25,2504680000,1238.3,1249.8,1237.6,1246.8,211,1
2018-12-09,3473.227539,3685.305664,3469.094238,3614.234375,4947372847,7163.490234,7205.370117,6945.27002,6969.25,2504680000,1238.3,1249.8,1237.6,1246.8,211,1
2018-12-10,3612.046387,3647.33252,3470.144531,3502.656006,5020968740,6959.629883,7047.620117,6878.990234,7020.52002,2380270000,1249.6,1249.6,1241.7,1243.7,131,-1
2018-12-11,3497.554688,3513.185059,3392.25,3424.588135,4696765188,7121.660156,7129.830078,6983.009766,7031.830078,2286810000,1245.8,1248.7,1241.5,1241.9,117,-1
2018-12-12,3421.458252,3534.228516,3413.481445,3486.950195,4139364829,7127,7197.290039,7096.560059,7098.310059,2427080000,1245.3,1245.6,1244.1,1244.4,84,1
2018-12-13,3487.879395,3489.739502,3298.13208,3313.677246,4343372456,7135.279785,7154.640137,7034.819824,7070.330078,2162210000,1243.5,1243.5,1241,1242.7,194,-1
2018-12-14,3311.751953,3329.555908,3206.542236,3242.484863,4372763663,6986.370117,7027.169922,6898.990234,6910.660156,2218330000,1241.7,1241.7,1234.1,1237,33,-1
2018-12-15,3243.997559,3275.37793,3191.303467,3236.761719,3551763561,6986.370117,7027.169922,6898.990234,6910.660156,2218330000,1241.7,1241.7,1234.1,1237,33,-1
2018-12-16,3236.274658,3305.753174,3233.819824,3252.839111,3744248994,6986.370117,7027.169922,6898.990234,6910.660156,2218330000,1241.7,1241.7,1234.1,1237,33,1
2018-12-17,3253.123047,3597.917969,3253.123047,3545.864746,5409247918,6886.459961,6931.810059,6710.009766,6753.72998,2697400000,1239.3,1247.4,1239.3,1247.4,10,1
2018-12-18,3544.761475,3701.349365,3487.169189,3696.059082,5911325473,6809.819824,6847.27002,6733.709961,6783.910156,2623270000,1248.2,1249.2,1245.6,1249.2,31,1
2018-12-19,3706.824951,3949.322998,3687.22998,3745.950684,6810689119,6777.589844,6868.859863,6586.5,6636.830078,2919140000,1255.8,1255.8,1252.1,1252.1,268,1
2018-12-20,3742.195068,4191.228516,3728.974609,4134.441406,8927129279,6607.759766,6666.200195,6447.910156,6528.410156,3282440000,1243.2,1263.6,1243.2,1263.6,49,1
